"Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"EdTech","Worldwide","False","1081001278816301056","2019-01-04 01:36:03","RT @jlubinsky: If People Talked to Other Professionals the Way They Talk to Teachers https://t.co/MMC4lfPfJX #edchat #edreform","","10","0"
"EdTechReview","India","False","1081001267630129152","2019-01-04 01:36:00","Technology has taken the front seat and society is becoming quite dependent on it. #Technology is helping students to enhance their skills and lots more. Read to Know More!
https://t.co/zkA8f8WSWp
#education #21stCenturyLearning #edtech #edchat #edreform","","3","1"
"Jesse Lubinsky","Westchester County, NY","False","1081000811604385792","2019-01-04 01:34:12","If People Talked to Other Professionals the Way They Talk to Teachers https://t.co/MMC4lfPfJX #edchat #edreform","Place(id='8898efaeb359f85c', name='Mount Kisco', bounding_box=BoundingBox(coordinates=[[[-73.750542, 41.176326], [-73.710064, 41.176326], [-73.710064, 41.223117], [-73.750542, 41.223117]]], type='Polygon', _api=<tweepy.api.API object at 0x7fa6aecfb908>), contained_within=[], attributes={}, country='United States', url='https://api.twitter.com/1.1/geo/id/8898efaeb359f85c.json', place_type='city', country_code='US', _api=<tweepy.api.API object at 0x7fa6aecfb908>, full_name='Mount Kisco, NY')","10","25"
"Gary Coyle","Rochester, Minnesota","False","1081000320975728640","2019-01-04 01:32:15","Ditto for #robotics and yet more evidence that incorporating problem solving and the 4C’s is vital to any #EdReform efforts! https://t.co/1lHFqC7qHm","Place(id='9807c5c5f7a2c6ce', name='Minnesota', bounding_box=BoundingBox(coordinates=[[[-97.239256, 43.499362], [-89.483385, 43.499362], [-89.483385, 49.384359], [-97.239256, 49.384359]]], type='Polygon', _api=<tweepy.api.API object at 0x7fa6aecfb908>), contained_within=[], attributes={}, country='United States', url='https://api.twitter.com/1.1/geo/id/9807c5c5f7a2c6ce.json', place_type='admin', country_code='US', _api=<tweepy.api.API object at 0x7fa6aecfb908>, full_name='Minnesota, USA')","0","0"
"TheDailyEDU","","False","1080997435202244608","2019-01-04 01:20:47","RT @bruceirla: Elementary Mathies! INSPIRING PLAY IN YOUNG LEARNERS: SOMETIMES PLAY JUST NEEDS A NUDGE:
https://t.co/StxaR9W61g
#Education…","","1","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1080995386884526081","2019-01-04 01:12:38","The problem with Carlson's framing is that he has made this out to be a crisis affecting all men when the data clearly demonstrates otherwise. More-importantly, Carlson doesn't actually address how low-quality K-12 education is the main culprit. @hamandcheese @drvox #edreform","","0","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1080994883131846656","2019-01-04 01:10:38","This isn't a widespread crisis for all men. Those who have some form of higher education (especially graduate degrees) are doing fine in many areas. Those who are dropouts or only have a diploma are struggling, and have been doing so for decades. @hamandcheese @drvox #edreform","","0","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1080994021613408267","2019-01-04 01:07:13","More importantly, it is one that primarily affects men who are high school dropouts as well as high school graduates who have no form of higher ed, be it traditional college, tech school, or apprenticeship often provided through community colleges. @hamandcheese @drvox #edreform","","0","1"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1080993472671293440","2019-01-04 01:05:02","This is primarily an education problem, one written about since the 1990s. The problem is that Carlson would prefer to engage in more women-bashing than address the real consequences of the nation's failure to provide all with high-quality education. #edreform @drvox https://t.co/fDj5SrK7so","","0","1"
"Juan José Calderón Amador","Sevilla","False","1080988441297518593","2019-01-04 00:45:02","Big Data, the Science of Learning Analytics and Transformation of Education. @stanford  ... what are the affordances of the technology ? https://t.co/j8PJP5vGer  #elearning #BigData #AI #LearningAnalytics #tech #IA #edreform #transformation #education #edtech #edchat #technology","","1","2"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1080986372956135424","2019-01-04 00:36:49","It has nothing to do with with gloalbalization and trade with China.

It does have a lot to do with low educational attainment. If you don't have at least some form of higher education, then you earn less. 

Tom Mortenson wrote about this as far back as the 1990s. #edreform https://t.co/yI0Lt4ZSFv","","0","0"
"Juan José Calderón Amador","Sevilla","False","1080977193193431041","2019-01-04 00:00:21","Reforming Education using the Blockchain — This week on Blockchain Weekly. Richard Margolin and Thoma Shivers. https://t.co/j9iiO31KAg  #blockchain #Education #EDreform #decentralized #BlockchainEDU #blockchainEDUcation #sharingEconomy #crypto #cryptocurrency #edtech #edchat","","0","1"
"CarmenPachecoSepulve","San Juan, PR","False","1080974731673812992","2019-01-03 23:50:34","RT @TheFuturist007: How do you feel about robots giving ""tailored"" lessons to online students in the future? 📚🏫

#VirtualReality #AR #MR #V…","","203","0"
"Thomas Ultican","San Diego","False","1080968878765748225","2019-01-03 23:27:18","RT @aagabor: I learned so much from @tultican review of my After the Education Wars--about @DebMeier &amp; about Tony Alvarado's disappointing…","","2","0"
"Julie Collier","California, USA","False","1080962910040408064","2019-01-03 23:03:35","Well said! Been there. Done that.🙋🏻 Thankful for all the parents who've worked tirelessly behind the scenes while dealing with great animosity of status quo education. Every step forward helps more and more students find their path to success. #Edreform #ITrustParents #worthit https://t.co/TUdMmyYG8F","","0","1"
"Paul W Bennett","Halifax, Nova Scotia","False","1080958974281875457","2019-01-03 22:47:57","Homework Debate: Why We need to Assign the Right Kind of Homework — to Reap its full Benefits ⁦@natwexler⁩ ⁦@Forbes⁩ #homework #edchat #cdned #edreform  https://t.co/jo0oa0phSY","","0","0"
"EducationState","London, UK","False","1080958386789859333","2019-01-03 22:45:37","Top academy chain accused of ‘cheating’ Ofsted inspections at multiple schools https://t.co/HpYICIG5yo
#EdReform","","0","0"
"Sherman Giving","Charleston, SC","False","1080950713570729984","2019-01-03 22:15:07","Everyone should have their version of the American Dream - Ben Navarro on #EdReform in Charleston, SC https://t.co/1PvfK2409k","","0","2"
"Will Flanders","Milwaukee","False","1080950378739449857","2019-01-03 22:13:48",".@CJSzafir &amp; I write about implications of @GovEvers for #SchoolChoice and #edreform. Spoiler alert: mostly bad. @educationgadfly 

https://t.co/AaNhrojVq7","","2","0"
